order_item_id,order_id,product_id,quantity,unit_price
142,58,9,2,139.0
143,59,14,2,179.0
144,59,2,2,229.0
145,60,6,1,129.0
146,60,1,2,349.0
147,60,8,1,79.0
148,60,15,2,89.0
149,61,9,1,139.0
150,61,1,1,349.0
151,61,15,1,89.0
152,62,12,3,34.0
153,62,8,3,79.0
154,63,2,2,229.0
155,64,11,2,59.0
156,64,10,3,39.0
157,64,6,3,129.0
158,65,6,2,129.0
159,65,12,2,34.0
160,65,8,2,79.0
161,66,2,3,229.0
162,66,12,1,34.0
163,66,9,1,139.0
164,67,12,3,34.0
165,67,10,3,39.0
166,67,13,2,69.0
167,68,3,3,159.0
168,68,5,3,139.0
169,68,1,1,349.0
170,69,12,2,34.0
171,69,3,1,159.0
172,69,11,1,59.0
173,70,6,2,129.0
174,70,3,1,159.0
175,70,1,1,349.0
176,70,5,2,139.0
177,71,3,1,159.0
178,72,2,2,229.0
179,72,9,3,139.0
180,73,8,2,79.0
181,73,15,2,89.0
182,73,5,3,139.0
183,73,10,3,39.0
184,74,13,1,69.0
185,75,3,1,159.0
186,76,1,2,349.0
187,76,7,3,449.0
188,77,5,2,139.0
189,77,12,3,34.0
190,78,15,3,89.0
191,78,5,3,139.0
192,79,11,2,59.0
193,79,3,1,159.0
194,80,10,2,39.0
195,80,12,2,34.0
196,80,15,1,89.0
197,81,5,2,139.0
198,81,9,1,139.0
199,81,14,3,179.0
200,81,8,1,79.0
201,82,2,1,229.0
202,83,10,1,39.0
203,83,1,2,349.0
204,83,13,3,69.0
205,84,10,3,39.0
206,84,7,2,449.0
207,85,6,1,129.0
208,85,15,2,89.0
209,85,11,2,59.0
210,85,2,3,229.0
211,86,14,2,179.0
212,86,13,1,69.0
213,86,9,2,139.0
214,86,1,2,349.0
215,87,14,3,179.0
216,87,9,2,139.0
217,87,1,2,349.0
218,87,11,1,59.0
219,88,11,1,59.0
220,88,8,2,79.0
221,88,13,3,69.0
222,88,1,1,349.0
223,89,2,1,229.0
224,89,1,3,349.0
225,89,11,1,59.0
226,89,10,2,39.0
227,90,4,1,189.0
228,91,8,2,79.0
229,91,12,3,34.0
230,92,8,1,79.0
231,92,4,2,189.0
232,92,15,1,89.0
233,92,9,3,139.0
234,93,14,2,179.0
235,93,2,2,229.0
236,94,14,3,179.0
237,94,1,2,349.0
238,94,5,3,139.0
239,95,9,3,139.0
240,95,8,3,79.0
241,95,6,2,129.0
242,95,13,2,69.0
243,96,10,1,39.0
244,96,7,2,449.0
245,97,12,3,34.0
246,97,13,3,69.0
247,97,7,1,449.0
248,97,14,2,179.0
249,98,14,1,179.0
250,98,2,3,229.0
251,98,8,2,79.0
252,99,14,2,179.0
253,99,11,2,59.0
254,99,3,2,159.0
255,99,2,3,229.0
256,100,14,2,179.0
257,100,11,2,59.0
258,100,9,3,139.0
259,101,10,1,39.0
260,102,4,2,189.0
261,102,12,1,34.0
262,102,2,3,229.0
263,103,15,2,89.0
264,103,1,1,349.0
265,103,14,2,179.0
266,104,4,2,189.0
267,104,9,3,139.0
268,105,10,2,39.0
269,106,4,3,189.0
270,106,8,2,79.0
271,107,15,2,89.0
272,108,2,2,229.0
273,108,8,3,79.0
274,109,12,1,34.0
275,109,5,2,139.0
276,109,8,2,79.0
277,109,14,1,179.0
278,110,10,2,39.0
279,110,5,1,139.0
280,110,12,3,34.0
281,111,15,3,89.0
282,112,13,3,69.0
283,112,15,2,89.0
284,112,4,1,189.0
285,113,11,3,59.0
286,113,2,3,229.0
287,114,1,1,349.0
288,114,10,1,39.0
289,114,6,2,129.0
290,114,12,2,34.0
291,115,13,2,69.0
292,115,9,3,139.0
293,116,5,2,139.0
294,116,14,2,179.0
295,117,2,3,229.0
296,117,3,3,159.0
297,117,13,3,69.0
298,117,4,2,189.0
299,118,1,2,349.0
300,118,5,2,139.0
301,118,9,3,139.0
302,118,2,3,229.0
303,119,2,2,229.0
304,119,11,1,59.0
305,119,4,3,189.0
306,120,11,3,59.0
307,120,2,2,229.0
308,121,3,1,159.0
309,122,2,1,229.0
310,122,15,2,89.0
311,122,4,2,189.0
312,122,9,2,139.0
313,123,15,3,89.0
314,123,7,1,449.0
315,124,1,1,349.0
316,124,12,2,34.0
317,124,6,2,129.0
318,125,11,2,59.0
319,126,1,1,349.0
320,126,7,1,449.0
321,126,5,2,139.0
322,127,1,2,349.0
323,128,2,3,229.0
324,128,14,1,179.0
325,129,6,1,129.0
326,129,13,3,69.0
327,130,3,2,159.0
328,130,9,1,139.0
329,131,13,3,69.0
330,131,15,2,89.0
331,131,4,1,189.0
332,132,9,2,139.0
333,132,2,2,229.0
334,132,12,2,34.0
335,132,14,3,179.0
336,133,10,3,39.0
337,133,1,3,349.0
338,134,1,2,349.0
339,135,8,3,79.0
340,136,6,3,129.0
341,137,10,3,39.0
342,137,11,3,59.0
343,137,15,2,89.0
344,138,8,2,79.0
345,138,9,1,139.0
346,138,10,3,39.0
347,139,7,1,449.0
348,139,8,2,79.0
349,140,6,2,129.0
350,141,3,1,159.0
351,141,11,1,59.0
352,141,8,1,79.0
353,142,13,1,69.0
354,142,3,3,159.0
355,142,9,3,139.0
356,143,6,3,129.0
357,143,14,1,179.0
358,143,11,2,59.0
359,143,7,3,449.0
360,144,3,2,159.0
361,144,11,1,59.0
362,145,2,3,229.0
363,145,13,1,69.0
364,145,5,2,139.0
365,146,10,3,39.0
366,147,12,2,34.0
367,147,13,2,69.0
368,147,5,1,139.0
369,148,2,1,229.0
370,148,3,1,159.0
371,148,12,3,34.0
372,148,11,3,59.0
373,149,6,3,129.0
374,149,3,2,159.0
375,149,15,3,89.0
376,149,5,3,139.0
377,150,11,1,59.0
378,151,10,1,39.0
379,151,8,3,79.0
380,151,7,1,449.0
381,151,5,2,139.0
382,152,9,1,139.0
383,152,11,2,59.0
384,152,5,3,139.0
385,152,1,1,349.0
386,153,13,2,69.0
387,153,3,2,159.0
388,154,3,3,159.0
389,154,15,1,89.0
390,154,7,3,449.0
391,154,9,3,139.0
392,155,7,1,449.0
393,156,10,2,39.0
394,156,7,3,449.0
395,156,15,3,89.0
396,157,6,1,129.0
397,158,2,1,229.0
398,158,7,2,449.0
399,158,15,3,89.0
400,159,14,1,179.0
401,159,5,2,139.0
402,159,12,1,34.0
403,159,6,1,129.0
404,160,15,2,89.0
405,160,13,2,69.0
406,161,5,1,139.0
407,161,4,3,189.0
408,162,3,3,159.0
409,163,11,3,59.0
410,163,10,2,39.0
411,163,15,3,89.0
412,163,13,2,69.0
413,164,8,3,79.0
414,164,11,1,59.0
415,164,5,2,139.0
416,164,13,3,69.0
417,165,1,1,349.0
418,165,15,3,89.0
419,165,6,1,129.0
420,165,5,3,139.0
421,166,8,3,79.0
422,167,9,1,139.0
423,167,3,2,159.0
424,167,1,3,349.0
425,167,8,1,79.0
426,168,4,3,189.0
427,169,6,2,129.0
428,169,15,2,89.0
429,170,13,3,69.0
430,171,9,3,139.0
431,172,6,3,129.0
432,172,2,3,229.0
433,173,3,2,159.0
434,173,10,3,39.0
435,173,12,2,34.0
436,173,2,3,229.0
437,174,11,3,59.0
438,175,5,2,139.0
439,175,3,2,159.0
440,175,4,1,189.0
441,176,2,1,229.0
442,176,5,3,139.0
443,177,11,2,59.0
444,178,3,3,159.0
445,178,15,3,89.0
446,179,11,2,59.0
447,179,12,3,34.0
448,179,4,2,189.0
449,180,5,2,139.0
450,180,13,1,69.0
451,181,13,3,69.0
452,181,7,2,449.0
453,181,9,1,139.0
454,182,14,1,179.0
455,182,5,3,139.0
456,183,12,3,34.0
457,184,5,3,139.0
458,184,8,1,79.0
459,185,14,2,179.0
460,185,8,1,79.0
461,186,4,2,189.0
462,186,7,1,449.0
463,186,2,1,229.0
464,187,13,1,69.0
465,187,3,2,159.0
466,187,14,2,179.0
467,188,8,1,79.0
468,188,10,2,39.0
469,188,1,1,349.0
470,188,2,1,229.0
471,189,4,1,189.0
472,189,5,1,139.0
473,189,2,2,229.0
474,190,10,3,39.0
475,190,9,3,139.0
476,190,1,1,349.0
477,190,11,3,59.0
478,191,10,2,39.0
479,192,11,1,59.0
480,192,15,3,89.0
481,193,7,2,449.0
482,194,12,1,34.0
483,194,1,2,349.0
484,194,6,1,129.0
485,195,3,3,159.0
486,195,1,2,349.0
487,195,6,3,129.0
488,196,12,1,34.0
489,196,8,1,79.0
490,196,11,3,59.0
491,196,3,2,159.0
492,197,13,1,69.0
493,198,9,2,139.0
494,198,7,2,449.0
495,198,15,1,89.0
496,199,14,3,179.0
497,200,7,2,449.0
498,200,15,2,89.0
499,200,12,2,34.0
